   # uid                          gold  ok/8 | correct-rollout think tokens (sorted) | incorrect think
  79 gsm8k_test:79                  70   8/8 | 111,123,130,131,131,137,138,175               | -
  80 gsm8k_test:80                  10   6/8 | 133,151,162,169,180,183                       | 201,337
  81 gsm8k_test:81                  17   8/8 | 137,146,150,155,164,166,177,238               | -
  82 gsm8k_test:82                 623   8/8 | 146,166,171,171,177,208,250,320               | -
  83 gsm8k_test:83                 600   8/8 | 102,105,119,131,136,148,151,164               | -
  84 gsm8k_test:84                  15   8/8 | 129,137,141,144,147,147,149,177               | -
  85 gsm8k_test:85                  44   5/8 | 62,115,227,285,309                            | 173,349
  86 gsm8k_test:86                  22   8/8 | 119,130,131,137,153,195,241,320               | -
  87 gsm8k_test:87                9360   0/8 | -                                             | 174,200,305,324,338,1484
  88 gsm8k_test:88                8000   8/8 | 116,132,142,151,164,165,199,222               | -
  89 gsm8k_test:89                  24   0/8 | -                                             | 156,158,208,274,302,533
  90 gsm8k_test:90                 225   7/8 | 154,172,186,211,232,237,249                   | 307
  91 gsm8k_test:91                  28   0/8 | -                                             | 110,174,177,192,198,204,208,214
  92 gsm8k_test:92                   4   3/8 | 220,280,366                                   | 245,410,1149
  93 gsm8k_test:93                  36   0/8 | -                                             | 251,450,505,867,881,1996,2328,2930
  94 gsm8k_test:94                 348   5/8 | 222,238,247,251,264                           | 155,265,290
  95 gsm8k_test:95                  40   7/8 | 184,191,207,209,218,331,1000                  | 230
  96 gsm8k_test:96                   3   8/8 | 93,95,117,118,126,126,135,146                 | -
  97 gsm8k_test:97                  12   3/8 | 204,251,284                                   | 243,253,255,1595
  98 gsm8k_test:98                   5   6/8 | 128,134,153,261,316,1455                      | 301,303
  99 gsm8k_test:99                  58   8/8 | 141,159,182,208,216,222,250,351               | -
 100 gsm8k_test:100                175   2/8 | 171,244                                       | 176,252,263,479,673,794
 101 gsm8k_test:101                  6   4/8 | 124,144,227,997                               | 162,268,351
 102 gsm8k_test:102                 26   0/8 | -                                             | 122,181,183,212,231,242,272,317
 103 gsm8k_test:103                140   8/8 | 81,149,155,183,199,214,233,263                | -
 104 gsm8k_test:104                500   8/8 | 140,184,190,193,210,301,373,847               | -
 105 gsm8k_test:105                 20   8/8 | 92,107,125,133,135,142,177,239                | -
 106 gsm8k_test:106                 72   5/8 | 183,222,254,279,471                           | 295,410
 107 gsm8k_test:107                  3   6/8 | 275,280,322,346,533,562                       | 237
 108 gsm8k_test:108                 50   8/8 | 153,160,179,179,182,196,229,388               | -
 109 gsm8k_test:109                 28   8/8 | 159,163,165,188,215,217,222,228               | -
 110 gsm8k_test:110                 45   7/8 | 141,144,165,171,188,259,299                   | 223
 111 gsm8k_test:111                 16   2/8 | 345,386                                       | 206,337,541,668,701,1279
 112 gsm8k_test:112                 24   8/8 | 111,123,123,140,184,205,218,283               | -
 113 gsm8k_test:113                 25   8/8 | 113,124,128,129,142,159,171,202               | -
 114 gsm8k_test:114                  6   7/8 | 176,245,250,265,1359,1431,2391                | -
 115 gsm8k_test:115                 90   1/8 | 429                                           | 241,242,271,400,407,1330
 116 gsm8k_test:116                 42   7/8 | 170,184,261,264,269,324,454                   | 220
 117 gsm8k_test:117                360   8/8 | 93,97,101,116,119,122,130,278                 | -
 118 gsm8k_test:118                  4   8/8 | 153,176,189,204,206,236,288,293               | -
 119 gsm8k_test:119              95200   0/8 | -                                             | 324,538,586,691,1622,2247,5198
 120 gsm8k_test:120                240   7/8 | 123,128,138,139,150,171,217                   | -
 121 gsm8k_test:121                 27   8/8 | 114,163,205,228,229,262,279,326               | -
 122 gsm8k_test:122                 48   0/8 | -                                             | 128,145,161,164,194,196,629,2574
 123 gsm8k_test:123                 50   8/8 | 121,128,157,159,185,203,207,234               | -
 124 gsm8k_test:124                 10   4/8 | 189,345,948,1209                              | 216,307,344,2866
 125 gsm8k_test:125                 10   6/8 | 178,206,231,258,332,458                       | 284,834
 126 gsm8k_test:126                 82   6/8 | 86,117,154,156,179,238                        | 211
 127 gsm8k_test:127                120   8/8 | 96,122,133,140,152,165,183,198                | -
 128 gsm8k_test:128                880   4/8 | 259,281,341,426                               | 104,260
 129 gsm8k_test:129              10000   4/8 | 274,314,330,564                               | 281,378,1822
 130 gsm8k_test:130                 30   7/8 | 128,130,132,138,139,169,191                   | 192
 131 gsm8k_test:131                940   6/8 | 101,123,125,147,189,430                       | -
 132 gsm8k_test:132                 60   4/8 | 195,231,244,293                               | 213,218,372
 133 gsm8k_test:133                 13   7/8 | 122,127,151,159,183,192,216                   | 420
 134 gsm8k_test:134                720   6/8 | 125,145,148,149,171,180                       | 197
 135 gsm8k_test:135                 40   7/8 | 120,175,176,208,232,266,268                   | 216
 136 gsm8k_test:136                  6   8/8 | 106,116,123,135,146,180,298,916               | -
 137 gsm8k_test:137                 29   5/8 | 177,182,289,431,519                           | 219,362
 138 gsm8k_test:138                105   5/8 | 187,190,212,224,242                           | 187,203
 139 gsm8k_test:139                 70   8/8 | 114,128,129,130,130,153,154,191               | -
 140 gsm8k_test:140                 20   7/8 | 109,119,152,163,174,233,366                   | 195
 141 gsm8k_test:141                400   8/8 | 221,225,239,241,246,317,504,594               | -
 142 gsm8k_test:142                140   7/8 | 172,221,229,288,289,333,666                   | -
 143 gsm8k_test:143                 16   0/8 | -                                             | 164,195,200,210,299,304,346,355
 144 gsm8k_test:144                 20   5/8 | 197,296,314,351,405                           | 241,321
 145 gsm8k_test:145               4000   6/8 | 158,179,194,204,209,574                       | 236,237
 146 gsm8k_test:146              2,125   4/8 | 180,204,217,227                               | 181,210,221,276
 147 gsm8k_test:147                 75   0/8 | -                                             | 212,263,264,323,388,413,1694,1900
 148 gsm8k_test:148                 30   4/8 | 278,517,520,1011                              | 142
 149 gsm8k_test:149                 16   8/8 | 138,138,143,147,153,159,162,198               | -
 150 gsm8k_test:150                  4   5/8 | 210,232,271,290,1508                          | 256,344,713
 151 gsm8k_test:151                  5   4/8 | 232,264,268,277                               | 285,302,1098
 152 gsm8k_test:152                  4   7/8 | 156,158,164,180,189,196,232                   | 222
 153 gsm8k_test:153                 48   0/8 | -                                             | 640,806,902,954,961,1661,2111,3045
 154 gsm8k_test:154                272   0/8 | -                                             | 220,252,263,289,325,351,371,420
 155 gsm8k_test:155                280   4/8 | 212,248,334,847                               | 207,250,274,279
 156 gsm8k_test:156               1400   5/8 | 252,272,281,379,521                           | 240,659
 157 gsm8k_test:157                 80   1/8 | 3206                                          | 270,437,508,516,664
 158 gsm8k_test:158                 34   7/8 | 109,119,145,148,156,164,201                   | 191
 159 gsm8k_test:159                 15   2/8 | 181,188                                       | 104,110,132,143,219,253
 160 gsm8k_test:160                 16   7/8 | 110,137,147,148,152,158,163                   | 98
 161 gsm8k_test:161                 32   7/8 | 194,195,216,230,239,259,650                   | 204
 162 gsm8k_test:162                 92   5/8 | 206,282,351,435,764                           | 538,2825,3672
 163 gsm8k_test:163                 50   2/8 | 207,263                                       | 165,194,195,219,245,258
 164 gsm8k_test:164                 15   1/8 | 180                                           | 210,218,223,278,307,366,441
 165 gsm8k_test:165                 77   6/8 | 196,201,224,244,249,297                       | 290,2101
 166 gsm8k_test:166                  5   8/8 | 128,130,142,157,178,187,205,258               | -
 167 gsm8k_test:167                 16   7/8 | 106,158,159,164,168,205,236                   | 109
 168 gsm8k_test:168                 18   7/8 | 93,95,103,104,119,127,132                     | -
 169 gsm8k_test:169                120   7/8 | 166,189,207,217,253,255,1110                  | 244
 170 gsm8k_test:170                150   8/8 | 159,165,178,179,180,198,200,598               | -
 171 gsm8k_test:171               1210   7/8 | 132,158,195,287,325,326,733                   | 227
 172 gsm8k_test:172                 51   2/8 | 329,338                                       | 281,309,312,327,368,1591
 173 gsm8k_test:173              18000   8/8 | 167,225,283,319,350,395,401,597               | -
 174 gsm8k_test:174                 95   7/8 | 190,194,203,207,239,258,320                   | 377
 175 gsm8k_test:175                 15   6/8 | 189,450,471,669,1247,1573                     | 643
 176 gsm8k_test:176                100   3/8 | 203,211,284                                   | 229,231,528,1463,1934
 177 gsm8k_test:177                350   1/8 | 329                                           | 262,363,376,387,391,404,583
 178 gsm8k_test:178                122   5/8 | 184,187,208,238,311                           | 194,210,224
 179 gsm8k_test:179                130   8/8 | 101,117,118,157,161,202,226,241               | -
 180 gsm8k_test:180                 20   8/8 | 124,126,135,135,146,159,187,420               | -
 181 gsm8k_test:181                160   6/8 | 275,293,428,823,979,1213                      | 310,936
 182 gsm8k_test:182                 23   1/8 | 552                                           | 210,228,239,248,277,335
 183 gsm8k_test:183                  2   4/8 | 270,287,305,310                               | 280,441,512,1028
 184 gsm8k_test:184                 25   4/8 | 243,265,332,485                               | 257,271,313,426
 185 gsm8k_test:185                 30   8/8 | 126,130,143,146,150,150,170,183               | -
 186 gsm8k_test:186                  5   2/8 | 224,277                                       | 171,245,1137,1965,2429
 187 gsm8k_test:187                106   5/8 | 166,177,207,248,384                           | 218,300
 188 gsm8k_test:188                 50   5/8 | 119,203,216,567,930                           | 177,183,483
 189 gsm8k_test:189                 34   3/8 | 205,219,240                                   | 168,183,330,630
 190 gsm8k_test:190                360   8/8 | 103,119,136,139,143,168,193,365               | -
 191 gsm8k_test:191                  5   7/8 | 121,138,165,168,176,186,419                   | 159
 192 gsm8k_test:192                 91   8/8 | 135,185,210,234,241,257,270,428               | -
 193 gsm8k_test:193                 24   3/8 | 277,281,287                                   | 196,237,326,353,424
 194 gsm8k_test:194                 10   7/8 | 125,130,149,161,163,176,186                   | 343
 195 gsm8k_test:195                 12   8/8 | 148,161,169,181,183,213,433,511               | -
 196 gsm8k_test:196                120   6/8 | 123,130,152,152,208,338                       | 457
 197 gsm8k_test:197               6277   7/8 | 153,161,164,169,171,187,482                   | 496
 198 gsm8k_test:198                320   6/8 | 163,184,199,241,245,846                       | 174,866
 199 gsm8k_test:199               7500   0/8 | -                                             | 223,228,230,263,299,445,1566
